timestamp,amount_lent,amount_used,rate
1473409967,5347.177516,4158.077664,9.4661
1473413573,5256.213945,4066.974893,9.3732
1473417177,5254.657482,4087.277769,9.3716
1473420767,5247.623851,4095.758856,9.3409
1473424376,5289.814071,4137.949076,9.32
1473427978,5304.409763,4152.544768,9.3339
1473431562,5326.347732,4173.106531,9.3822
1473435175,5381.415059,4120.936928,9.2613
1473438771,4942.768158,4185.328082,8.9585
1473442323,4945.414696,4201.512601,8.9659
1473445924,4966.480676,4233.972666,8.9379
1473449525,4976.839523,4244.940609,8.9142
1473453122,4991.6338,4270.071478,8.9186
1473456727,5188.660357,4289.858292,8.8062
1473460325,5188.120118,4312.283401,8.786
1473463916,5196.101421,4321.785812,8.783
1473467537,5198.708043,4325.511263,8.7804
1473471149,5201.416727,4322.578044,8.7776
1473474734,5210.543903,4314.40992,8.7756
1473478325,5207.209129,4311.075146,8.7734
1473481941,5207.173487,4311.039504,8.7664
